Media Source,Date,Text,Compound,Positive,Neutral,Negative,Tweet Count
@BBC,Thu Apr 26 20:05:00 +0000 2018,The heartbreaking story of the artist who gave the children of this concentration camp art lessons. Their beautiful… https://t.co/gMFqgqgtvg,-0.4588,0.0,0.857,0.143,1
@BBC,Thu Apr 26 19:03:04 +0000 2018,"Take a detailed look at ambulance services, from the highly pressurised control rooms to the crews on the street. 🚑… https://t.co/ACZOCRjbgS",-0.1761,0.0,0.918,0.082,2
@BBC,Thu Apr 26 18:33:03 +0000 2018,"Follow a young family of falcons as they grow up in downtown Chicago. 🦅

Natural World: Super Fast Falcon | 8pm |… https://t.co/fDzkfaxMNM",0.7506,0.262,0.738,0.0,3
@BBC,Thu Apr 26 18:01:09 +0000 2018,"😯 This woman from the 1920s looks EXACTLY like Benedict Cumberbatch.  
#TheGNShow https://t.co/ZkdgiM7ZVg",0.3612,0.185,0.815,0.0,4
@BBC,Thu Apr 26 16:08:02 +0000 2018,"RT @cbbc: If you can't wait to see @iamradzi on this week's ep of #BluePeter, turn him into an alien on the CBBC Buzz app! 📲🖍️➡️ https://t.…",0.0,0.0,1.0,0.0,5
@BBC,Thu Apr 26 16:00:25 +0000 2018,🔥👩‍🚒 These helmets use AR to help firefighters see through smoke. https://t.co/g0807qwa7z,0.4019,0.197,0.803,0.0,6
@BBC,Thu Apr 26 15:32:09 +0000 2018,"RT @bbcpress: Ahead of the final episode of #Civilisations, @Simon_Schama reveals his highlights from the series. Civilisations concludes t…",0.0,0.0,1.0,0.0,7
@BBC,Thu Apr 26 14:34:22 +0000 2018,RT @bbcthree: FYI baby Neil from Gavin and Stacey is now a 10-year-old https://t.co/yGthNqOfZK,0.368,0.174,0.826,0.0,8
@BBC,Thu Apr 26 14:13:03 +0000 2018,"🍽 Should you become a vegan?


Weigh up the pros and cons of meat-eating and veganism. 

🤔

https://t.co/g1xCjnAQFL https://t.co/tzJtDxicA7",0.0,0.0,1.0,0.0,9
@BBC,Thu Apr 26 13:56:59 +0000 2018,RT @BBCScotlandNews: Polar bear cub to be named Hamish after public vote https://t.co/HgNRA8gLMu https://t.co/00LK3653xE,0.0,0.0,1.0,0.0,10
@BBC,Thu Apr 26 12:58:05 +0000 2018,"🎤Rapper @kanyewest has a way with words. But instead of rap lyrics, these days he’s dropping knowledge on Twitter.… https://t.co/gInfDANKoX",0.0,0.0,1.0,0.0,11
@BBC,Thu Apr 26 12:01:05 +0000 2018,💣🐜 Ever heard of 'exploding ants'? https://t.co/im9JhvRJtS,0.0,0.0,1.0,0.0,12
@BBC,Thu Apr 26 10:27:28 +0000 2018,"More than 40 companies, who are responsible for over 80% of UK supermarkets' plastic packaging, have signed up to a… https://t.co/Te1iNrkH3D",0.3182,0.103,0.897,0.0,13
@BBC,Thu Apr 26 08:01:06 +0000 2018,"🦎 Komodo dragons take on prey ten times their size!
#NaturesBiggestBeasts https://t.co/0WskNgK7aV",0.0,0.0,1.0,0.0,14
@BBC,Thu Apr 26 07:29:06 +0000 2018,"🚑 In a medical emergency, the right response can save lives – but many of us are still doing the wrong thing...
👉… https://t.co/ncRpVF4Ybm",-0.5927,0.081,0.691,0.228,15
@BBC,Thu Apr 26 07:00:10 +0000 2018,👟🗑 Do you plog? https://t.co/oN1HxQzQJS,0.0,0.0,1.0,0.0,16
@BBC,Wed Apr 25 20:12:00 +0000 2018,"In 1941, Josef Jakobs was executed at the Tower of London, marking the end of a chapter in its history. https://t.co/q9nwuRjqmv",0.0,0.0,1.0,0.0,17
@BBC,Wed Apr 25 19:03:06 +0000 2018,"Hugh Fearnley-Whittingstall is on a mission, asking food producers, restaurants and the government to confront Brit… https://t.co/EcfjGY9Hqo",-0.1779,0.0,0.898,0.102,18
@BBC,Wed Apr 25 18:00:25 +0000 2018,☀️🛶 How an isolated indigenous community in Ecuador is protecting the Amazon jungle with its first solar powered ca… https://t.co/yHNXh2C0ZO,-0.1531,0.077,0.818,0.105,19
@BBC,Wed Apr 25 17:01:10 +0000 2018,"🌱🍓 A man has told of how he 'got his mum back' after a diagnosis of Alzheimer's, in part, by getting her to follow… https://t.co/Bj8a8iAK61",0.0,0.0,1.0,0.0,20
@BBC,Wed Apr 25 16:00:21 +0000 2018,❤️🐿 The dating scene is tough when you're a red squirrel... https://t.co/BUTI5sOp3R,-0.128,0.0,0.87,0.13,21
@BBC,Wed Apr 25 14:44:29 +0000 2018,"🐧 🤣 When penguins... HONK!... interrupt... HONK!... your TV interview... HONK!   
#WorldPenguinDay https://t.co/mFUZec36Ne",0.0,0.0,1.0,0.0,22
@BBC,Wed Apr 25 14:31:54 +0000 2018,"RT @BBCOne: .@HughFW is waging a war on waistlines. Tonight, 9pm, BBC One 🍔
#BritainsFatFight https://t.co/zYC7BECRw9",-0.5994,0.0,0.769,0.231,23
@BBC,Wed Apr 25 14:30:12 +0000 2018,"RT @bbcmusic: OH HI @NiallOfficial 😍 

#SoundsLikeFridayNight https://t.co/Iw2xK5wMj7",0.0,0.0,1.0,0.0,24
@BBC,Wed Apr 25 13:55:02 +0000 2018,"RT @BBC6Music: ""I essentially went to Hogwarts!""
- @SimonPegg reveals how to have the #BiggestWeekend in his hometown of Gloucester.

🎥 Lis…",0.0,0.0,1.0,0.0,25
@BBC,Wed Apr 25 13:49:16 +0000 2018,🤠 Never turn your back on a man in a cowboy hat. https://t.co/CBkcugUzBO,0.0,0.0,1.0,0.0,26
@BBC,Wed Apr 25 12:36:12 +0000 2018,RT @BBCBreakfast: Just look at these gorgeous rescued bear cubs 😍 https://t.co/2wvTLiA01U,0.7783,0.43,0.57,0.0,27
@BBC,Wed Apr 25 12:24:43 +0000 2018,RT @BBCTwo: This penguin swims thousands of miles every year to visit his best friend... 🐧💙 #WorldPenguinDay https://t.co/JlrMZ5exRE,0.6369,0.198,0.802,0.0,28
@BBC,Wed Apr 25 11:00:09 +0000 2018,Mums have responded to pictures of the Duchess of Cambridge leaving hospital following the birth of her third child… https://t.co/KQKq2MfdM8,0.0,0.0,1.0,0.0,29
@BBC,Wed Apr 25 10:12:00 +0000 2018,🔥🌶 Some people just can't handle the heat. https://t.co/bcWeeTB8F1,0.0,0.0,1.0,0.0,30
@BBC,Wed Apr 25 08:41:42 +0000 2018,RT @TWBBC: We made a chatbot. Our chatbot predicts how influential your Instagram pictures will be before you post them. Our chatbot uses m…,0.4404,0.116,0.884,0.0,31
@BBC,Wed Apr 25 08:01:03 +0000 2018,💌 This woman will write you a letter when you're going through hard times. https://t.co/6WejY9BcoI,-0.1027,0.0,0.896,0.104,32
@BBC,Wed Apr 25 07:28:08 +0000 2018,"📚 From ancient epics to modern novels, some narratives have changed history and influenced the mindsets of generati… https://t.co/QDcGy8jwXe",0.0,0.0,1.0,0.0,33
@BBC,Wed Apr 25 07:01:04 +0000 2018,"These children on Sal Island in Cape Verde are working hard to clean up their beaches. 
#OurBluePlanet https://t.co/IziZtoSeEp",0.3182,0.134,0.796,0.07,34
@BBC,Tue Apr 24 19:03:07 +0000 2018,"A leading divorce lawyer leaves the family firm for a rival, throwing her relationships into turmoil in the process… https://t.co/AHGrKnYPhA",-0.3612,0.0,0.872,0.128,35
@BBC,Tue Apr 24 18:00:24 +0000 2018,"🐜🤖 By turning ant brains into algorithms, scientists have created robots that navigate without GPS. https://t.co/8qGDjewneC",0.25,0.118,0.882,0.0,36
@BBC,Tue Apr 24 17:01:03 +0000 2018,😲 Australian police say they will review how a 12-year-old boy travelled alone to Bali after he had a row with his… https://t.co/gskGhMaKgN,-0.25,0.0,0.905,0.095,37
@BBC,Tue Apr 24 16:08:00 +0000 2018,RT @bbcwritersroom: Want to get yr first @BBC writing credit? We're running a #Comedy monologue opportunity alongside @bbcmusic @bbcintrodu…,0.6908,0.309,0.691,0.0,38
@BBC,Tue Apr 24 16:01:03 +0000 2018,"Queen Victoria was sort of the Darth Vader of the British Empire. 
#CunkOnBritain https://t.co/F4BGHWQtiz",0.0,0.0,1.0,0.0,39
@BBC,Tue Apr 24 15:21:18 +0000 2018,"RT @BBCOne: When divorce is a family affair... 

#TheSplit. Starts tonight at 9pm on @BBCOne. https://t.co/T31iOt0GIx",0.0,0.0,1.0,0.0,40
@BBC,Tue Apr 24 15:20:51 +0000 2018,"RT @BBCTwo: The Battle of Trafalgar really slowed down trade at the Pret a Manger. 😂🇬🇧 @missdianemorgan #CunkOnBritain
https://t.co/5tkFNfD…",-0.3818,0.0,0.867,0.133,41
@BBC,Tue Apr 24 15:16:28 +0000 2018,RT @BBCNews: Gun salute takes place in London for new prince https://t.co/g5AEWrmRec https://t.co/dBoijinHBe,-0.34,0.0,0.833,0.167,42
@BBC,Tue Apr 24 15:00:24 +0000 2018,"🤢🥚The planet Uranus has clouds made up of hydrogen sulphide, the gas that gives rotten eggs their unpleasant smell,… https://t.co/WWBR6BuUa3",-0.7506,0.0,0.738,0.262,43
@BBC,Tue Apr 24 13:01:04 +0000 2018,"📸❤️ This wedding photo will give you all the feels...

It's by the most committed photographer ever.
👉… https://t.co/BRtArfWGTM",0.3384,0.117,0.883,0.0,44
@BBC,Tue Apr 24 12:00:21 +0000 2018,"🐰 When your pet rabbit has got RAGE issues. 
#NightmarePetsSOS https://t.co/EQF2bAPgIF",-0.6523,0.0,0.675,0.325,45
@BBC,Tue Apr 24 11:10:06 +0000 2018,"The faecal transplant, also known as trans-poo-sion, surely has the title of medicine's most disgusting procedure..… https://t.co/433qH3AFV6",-0.2006,0.134,0.695,0.171,46
@BBC,Tue Apr 24 10:33:00 +0000 2018,Cheers! 🍬🍋 Sweet maker Gillian shows @NishaKatona how to make her gin and tonic marshmallows. #TopOfTheShop https://t.co/zLqZBO0Hg0,0.75,0.299,0.701,0.0,47
@BBC,Tue Apr 24 10:12:04 +0000 2018,RT @BBCOne: Less than one month to go until the #RoyalWedding!  👰 💑 💍🎉❤️ https://t.co/4tpY4OERd0,0.0,0.0,1.0,0.0,48
@BBC,Tue Apr 24 10:08:25 +0000 2018,"RT @bbceurovision: ""May we have your points please?..."" @Rylan prepares the 2018 #Eurovision artists for the all important scoring. 🤣 https…",0.2023,0.087,0.913,0.0,49
@BBC,Tue Apr 24 09:08:33 +0000 2018,RT @BBCNewsround: Why is Millicent Fawcett getting her own statue in Parliament Square? https://t.co/e6fNQd9ezH https://t.co/y09ruvrxIT,0.0,0.0,1.0,0.0,50
@BBC,Tue Apr 24 09:02:42 +0000 2018,RT @BBCLookEast: Well done @simonsmarathon who completed the London Marathon late last night - he is the first man to finish the race using…,0.2732,0.087,0.913,0.0,51
@BBC,Tue Apr 24 08:47:41 +0000 2018,"RT @BBCGetIn: **DEADLINE ALERT**

Just 4 days left to apply for our Communications Trainee Scheme!

Applications close on Thursday 26th Apr…",0.0,0.0,1.0,0.0,52
@BBC,Tue Apr 24 08:01:02 +0000 2018,❤️ This make-up artist is using her skills to help scarred women feel beautiful again. https://t.co/BuQ3vMwtPn,0.765,0.32,0.68,0.0,53
@BBC,Tue Apr 24 07:29:05 +0000 2018,"🌈👀 Did you know that depending on what language you speak, your eye perceives colours – and the world – differently… https://t.co/Q6Cn2rteK3",0.0,0.0,1.0,0.0,54
@BBC,Tue Apr 24 07:00:08 +0000 2018,"‘I’m determined to prove the terrorists wrong.’

Martin was paralysed in the Manchester Arena attack and is now tra… https://t.co/qTRSdGxBeJ",-0.7003,0.09,0.639,0.271,55
@BBC,Mon Apr 23 19:15:23 +0000 2018,"RT @BBCTwo: It's #ShakespearesBirthday so here's Hamlet's famous ""To be or not to be"" speech, performed by Andrew Scott! 📜🎭🎂 https://t.co/b…",0.0,0.0,1.0,0.0,56
@BBC,Mon Apr 23 18:53:11 +0000 2018,👶💖 The Duke and Duchess of Cambridge introduce their new son to the world. https://t.co/nmrD1axv6Y,0.0,0.0,1.0,0.0,57
@BBC,Mon Apr 23 18:01:04 +0000 2018,✈️ Do you know how to wear an oxygen mask?  https://t.co/pf8lvubtc9,0.0,0.0,1.0,0.0,58
@BBC,Mon Apr 23 16:58:47 +0000 2018,RT @BBCBreaking: The Duke and Duchess of Cambridge show off new son outside London hospital https://t.co/lGZ2YAK7um #royalbaby https://t.co…,0.0,0.0,1.0,0.0,59
@BBC,Mon Apr 23 16:23:06 +0000 2018,❤️ The Duke of Cambridge has arrived at hospital with Prince George &amp; Princess Charlotte following birth of their b… https://t.co/w0QF6vPprS,0.0,0.0,1.0,0.0,60
@BBC,Mon Apr 23 16:01:07 +0000 2018,"😂 That time the police busted Mary Berry smuggling ingredients into America… 
#TheGNShow https://t.co/slxL3klU3h",-0.4767,0.0,0.795,0.205,61
@BBC,Mon Apr 23 15:32:35 +0000 2018,"How much do you know about England, the English and the frequently odd things they do and eat? Celebrate… https://t.co/zCiIrdYYkW",-0.3182,0.0,0.892,0.108,62
@BBC,Mon Apr 23 15:03:01 +0000 2018,"How does plastic actually enter our oceans? 
#OurBluePlanet  https://t.co/LdOt9inVFS",0.0,0.0,1.0,0.0,63
@BBC,Mon Apr 23 13:53:37 +0000 2018,RT @BBCNews: #royalbaby: Formal notice of birth displayed on forecourt of Buckingham Palace https://t.co/jU2MrpGseg https://t.co/wWgoKAeFaJ,0.0,0.0,1.0,0.0,64
@BBC,Mon Apr 23 13:32:04 +0000 2018,🐶❤️ Australian police have praised a dog for remaining with a three-year-old girl as she spent a night lost in bush… https://t.co/oGu1MgHiI0,0.2263,0.142,0.756,0.102,65
@BBC,Mon Apr 23 12:33:00 +0000 2018,"Beth is a trainee nurse about to start working in A&amp;E. 🏥🚑

Can former nurse Una calm her nerves via a hidden earpie… https://t.co/Z1HXesGbkQ",0.2263,0.097,0.844,0.059,66
@BBC,Mon Apr 23 12:09:01 +0000 2018,"👶❤️ It's a boy! 

The Duchess of Cambridge gives birth to her third child, who is fifth in line to throne. 
👉… https://t.co/txzbor7jKG",0.0,0.0,1.0,0.0,67
@BBC,Mon Apr 23 11:27:23 +0000 2018,"Arthur? Albert? Mary? Alice?

As the Duchess of Cambridge goes into labour with her third child, speculation contin… https://t.co/3a65q968kv",0.0,0.0,1.0,0.0,68
@BBC,Mon Apr 23 11:00:19 +0000 2018,"From Cold War spy station to Europe’s largest graffiti gallery.
👉https://t.co/gesQ2io25H https://t.co/7FcEBRJepr",-0.5994,0.0,0.738,0.262,69
@BBC,Mon Apr 23 10:59:52 +0000 2018,"RT @BBC_Culture: Beyond their literary value, do stories have the power to change the world? @clemencybh #100Stories https://t.co/P5tqktMh0…",0.34,0.124,0.876,0.0,70
@BBC,Mon Apr 23 09:35:20 +0000 2018,"RT @BBCOne: Can @nilerogers &amp; Chic condense a lifetime of music into one minute?
#GigInAMinute on #SoundsLikeFridayNight. https://t.co/IUYj…",0.2732,0.116,0.884,0.0,71
